actorid,name,sex,fname,lname
1681309,"Ware, Mathew",M,Mathew,Ware
1681324,"Ware, Paul (I)",M,Paul,Ware
1681326,"Ware, Peter (III)",M,Peter,Ware
1681335,"Ware, Robert",M,Robert,Ware
1681336,"Ware, Robert V.R.",M,Robert,Ware
1681344,"Ware, Stephen (I)",M,Stephen,Ware
1681348,"Ware, Tim (I)",M,Tim,Ware
1681373,"Wareham, Dean",M,Dean,Wareham
1681430,"Warfield, Chris (I)",M,Chris,Warfield
1681440,"Warfield, Joe",M,Joe,Warfield
1681454,"Warford, Jack",M,Jack,Warford
1681477,"Wargo, Dan",M,Dan,Wargo
1681482,"Wargo, Sean",M,Sean,Wargo
1681496,"Warhit, Douglas",M,Douglas,Warhit
1681497,"Warhol, Andy",M,Andy,Warhol
